"name","price","qty","sku","condition","meta_description","meta_keyword","meta_title","weight","attribute_set"
"Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","95.0000","29.0000","osst-20121017054807","Refurbished","Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","215.0000","29.0000","osst-20121017055615","New & Unused","New Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","180.0000","29.0000","osst-20121017064947","Refurbished","Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","Original Nokia N86 8MP Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia 6700 slide 6700s Symbian OS Smart Cell Mobile Phone Unlocked","125.0000","29.0000","osst-20121017065146","New & Unused","New Original Nokia 6700 slide 6700s Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia 6700 slide 6700s Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Nokia 6700 slide 6700s 2.2 inch Symbian OS Smart Cell Mobile Phone Unlocked","95.0000","29.0000","osst-20121017072351","Refurbished","Nokia 6700 slide 6700s 2.2 inch Symbian OS Smart Cell Mobile Phone Unlocked","Nokia 6700 slide 6700s 2.2 inch Symbian OS Smart Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Nokia N96 Symbian OS Smart Cell Mobile Phone Unlocked","150.0000","29.0000","osst-20121017072742","New & Unused","New Original Nokia N96 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N96 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Nokia N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked","55.0000","29.0000","osst-20121017073013","Refurbished","Nokia N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked","Nokia N72 2.1 inch Symbian OS Smart Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"Nokia N96 Symbian OS 16GB Smart Cell Mobile Phone Unlocked","95.0000","29.0000","osst-20121017075131","Refurbished","Nokia N96 Symbian OS 16GB Smart Cell Mobile Phone Unlocked","Nokia N96 Symbian OS 16GB Smart Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Nokia N79 Symbian OS Smart Cell Mobile Phone Unlocked","165.0000","29.0000","osst-20121017075757","New & Unused","New Original Nokia N79 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N79 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Nokia N79 2.4 inch Symbian OS Smart Cell Mobile Phone Unlocked","135.0000","29.0000","osst-20121017080625","Refurbished","Nokia N79 2.4 inch Symbian OS Smart Cell Mobile Phone Unlocked","Nokia N79 2.4 inch Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia N95 Symbian OS Smart Cell Mobile Phone Unlocked","165.0000","29.0000","osst-20121017081303","New & Unused","New Original Nokia N95 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N95 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Nokia N95 2.6 inch Symbian OS Smart Cell Mobile Phone Unlocked","135.0000","30.0000","osst-20121017082640","Refurbished","Nokia N95 2.6 inch Symbian OS Smart Cell Mobile Phone Unlocked","Nokia N95 2.6 inch Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia N97 Symbian OS Smart Cell Mobile Phone Unlocked","225.0000","29.0000","osst-20121017083409","New & Unused","New Original Nokia N97 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N97 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Nokia N97 3.5 inch 32GB Symbian OS Smart Cell Mobile Phone Unlocked","180.0000","29.0000","osst-20121017084321","Refurbished","Nokia N97 3.5 inch 32GB Symbian OS Smart Cell Mobile Phone Unlocked","Nokia N97 3.5 inch 32GB Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","95.0000","30.0000","osst-20121017084937","New & Unused","New Original Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","New Original Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","75.0000","30.0000","osst-20121017090455","Refurbished","Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","Nokia 5310 XpressMusic Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Nokia X1-01 Dual Sim Cell Mobile Phone Unlocked","95.0000","29.0000","osst-20121017090747","","","New Original Nokia X1-01 Dual Sim Cell Mobile Phone Unlocked","","1.0000","Mobile Phone"
"Nokia X1-01 Dual Sim Cell Mobile Phone Unlocked","75.0000","29.0000","osst-20121017091517","Refurbished","Nokia X1-01 Dual Sim Cell Mobile Phone Unlocked","Nokia X1-01 Dual Sim Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Lenovo LePhone A690 4.0"" Dual Sim Android 1GHz Smart Cell Mobile Phone Unlocked","150.0000","29.0000","osst-20121129033143","New & Unused","New Original Lenovo LePhone A690 4.0"" Dual Sim Android 1GHz Smart Cell Mobile Phone Unlocked","New Original Lenovo LePhone A690 4.0"" Dual Sim Android 1GHz Smart Cell Mobile Phone Unlocked","New Original Lenovo LePhone A690 4.0"" Dual Sim Android 1GHz Smart Cell Mobile Phone Unlocked","799.0000","Mobile Phone"
