"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Samsung DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054440","512MB","","Blank"
"Samsung DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054441","512MB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054442","1GB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054443","1GB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054444","1GB","","Blank"
"Samsung DDR2 2GB 2048MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054446","2GB","","Blank"
"Samsung DDR2 2GB 2048MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054447","2GB","","Blank"
"Samsung DDR2 4GB 4096MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054448","4GB","","Blank"
"Samsung DDR2 4GB 4096MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054449","4GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054473","1GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054474","1GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054475","2GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054476","2GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054477","4GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054478","4GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054479","1GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054480","1GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054481","2GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054482","2GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054483","4GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054484","4GB","","Blank"
"Micron DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054562","1GB","","Blank"
"Micron DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054563","1GB","","Blank"
"Micron DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054564","2GB","","Blank"
"Micron DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054565","2GB","","Blank"
"Micron DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054566","4GB","","Blank"
"Micron DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054567","4GB","","Blank"
"Micron DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054568","1GB","","Blank"
"Micron DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054569","1GB","","Blank"
"Micron DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054570","2GB","","Blank"
"Micron DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054571","2GB","","Blank"
"Micron DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054572","4GB","","Blank"
"Micron DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054573","4GB","","Blank"
"Nanya 256MB SDRAM SD RAM PC 133S Lodimm Desktop Memory 168pin","osst-20110119055583","256MB","","Nanya"
