"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","osst-20120320071833","22.0000","50.0000","51.0000","Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","Intel Celeron M380"
"Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","osst-20120320072216","35.0000","49.0000","51.0000","Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","Intel Celeron M390"
"OEM Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","osst-20120320072414","45.0000","50.0000","51.0000","OEM Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","OEM Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","OEM Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz","Intel Celeron M390"
"OEM Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","osst-20120320072713","18.5000","50.0000","51.0000","OEM Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","OEM Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","OEM Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","Intel Celeron M410"
"Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","osst-20120320074845","9.5000","50.0000","51.0000","Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533","Intel Celeron M410"
"Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz","osst-20120320081504","9.5000","50.0000","51.0000","Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz","Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz","Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz","Intel Celeron M420"
"OEM Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6G 1M 533Mhz","osst-20120320081837","25.0000","50.0000","51.0000","OEM Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6G 1M 533Mhz","OEM Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6G 1M 533Mhz","OEM Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6G 1M 533Mhz","Intel Celeron M420"
"OEM Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","osst-20120320082207","35.0000","50.0000","51.0000","OEM Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","OEM Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","OEM Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","Intel Celeron M430"
"Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","osst-20120320082506","22.0000","50.0000","51.0000","Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz","Intel Celeron M430"
"Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz","osst-20120320082718","45.0000","49.0000","51.0000","Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz","Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz","Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz","Intel Celeron M440"
