name,sku,price,qty
" WD Western Digital 3.5"" 100GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323103255,35,59
" WD Western Digital 3.5"" 120GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326014855,35,59
"Maxtor 3.5"" 540MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326030836,35,0
"Maxtor 3.5"" 1GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326031129,35,59
"Maxtor 3.5"" 2GB 2.1GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326031259,35,59
"Maxtor 3.5"" 3GB 3.2GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326031421,35,59
"Maxtor 3.5"" 100GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033926,35,59
"Maxtor 3.5"" 120GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034346,35,59
"Seagate 3.5"" 540MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402015330,35,0
"Seagate 3.5"" 1GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402020130,35,25
"Seagate 3.5"" 2GB 2.1GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402020314,35,30
"Seagate 3.5"" 3GB 3.2GB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402020621,35,30
"Seagate 3.5"" 100GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402025908,35,30
"Seagate 3.5"" 120GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402030255,35,30
"IBM Hitachi 3.5"" 540MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423092155,35,0
"IBM Hitachi 3.5"" 1GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091353,35,30
"IBM Hitachi 3.5"" 2GB 2.1GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091354,35,30
"IBM Hitachi 3.5"" 3GB 3.2GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091355,35,30
"IBM Hitachi 3.5"" 100GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091466,35,30
"IBM Hitachi 3.5"" 120GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091467,35,30
"Samsung 3.5"" 100GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521033412,35,30
"Samsung 3.5"" 120GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521034045,35,30
"WD Western Digital 3.5"" 100GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC",osst-20120321043419,38,59
"WD Western Digital 3.5"" 120GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC",osst-20120321043633,38,59
"Maxtor 3.5"" 100GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321082313,38,59
"Maxtor 3.5"" 120GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321082658,38,59
" WD Western Digital 3.5"" 160GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326015207,38,59
"Maxtor 3.5"" 160GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034628,38,59
"Seagate 3.5"" 100GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331084845,38,30
"Seagate 3.5"" 120GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331085109,38,30
"Seagate 3.5"" 160GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402030955,38,30
"Hitachi 3.5"" 160GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091368,38,30
"Hitachi 3.5"" 100GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091406,38,30
"Hitachi 3.5"" 120GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091407,38,30
"Samsung 3.5"" 160GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521034440,38,30
"Samsung 3.5"" 100GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062141,38,30
"Samsung 3.5"" 120GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062258,38,30
"WD Western Digital 3.5"" 160GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321043840,42,59
"Maxtor 3.5"" 160GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321083642,42,59
"New WD Western Digital 3.5"" 120GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop",osst-20120323073048,42,59
" WD Western Digital 3.5"" 200GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326015759,42,59
" WD Western Digital 3.5"" 250GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326020017,42,59
"New Maxtor 3.5"" 120GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120326024926,42,59
"Maxtor 3.5"" 200GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034737,42,59
"Maxtor 3.5"" 250GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326035130,42,59
"Seagate 3.5"" 160GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331085336,42,30
"New Seagate 3.5"" 120GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120331101440,42,30
"Seagate 3.5"" 200GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402031634,42,30
"Seagate 3.5"" 250GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402031852,42,30
"New IBM Hitachi 3.5"" 120GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423084044,42,30
"Hitachi 3.5"" 200GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091370,42,30
"Hitachi 3.5"" 250GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091372,42,30
"Hitachi 3.5"" 160GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091408,42,30
"New Samsung 3.5"" 120GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521024506,42,30
"Samsung 3.5"" 200GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521034852,42,30
"Samsung 3.5"" 250GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521035530,42,30
"Samsung 3.5"" 160GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062459,42,30
"WD Western Digital 3.5"" 200GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321054730,45,59
"WD Western Digital 3.5"" 250GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321055509,45,59
"Maxtor 3.5"" 200GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321083954,45,59
"Maxtor 3.5"" 250GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321090142,45,59
" WD Western Digital 3.5"" 160GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326015501,45,59
"Maxtor 3.5"" 160GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034459,45,59
"Seagate 3.5"" 200GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331085555,45,30
"Seagate 3.5"" 250GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331085920,45,30
"Seagate 3.5"" 160GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402031201,45,30
"Hitachi 3.5"" 160GB 7200 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091817,45,30
"Hitachi 3.5"" 200GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091409,45,30
"Hitachi 3.5"" 250GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091410,45,30
"Samsung 3.5"" 160GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521034253,45,30
"Samsung 3.5"" 200GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062641,45,30
"Samsung 3.5"" 250GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062859,45,30
"WD Western Digital 3.5"" 250GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321055214,48,59
"WD Western Digital 3.5"" 320GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321060012,48,59
"Maxtor 3.5"" 250GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321090420,48,59
"Maxtor 3.5"" 320GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321091041,48,59
"New WD Western Digital 3.5"" 120GB 7200 RPM 8MB PATA IDE HDD Hard Disk Driver Desktop",osst-20120323073303,48,59
" WD Western Digital 3.5"" 200GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326015643,48,59
" WD Western Digital 3.5"" 250GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326020130,48,59
"New Maxtor 3.5"" 120GB 7200 RPM 8MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120326024809,48,59
"Maxtor 3.5"" 200GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034851,48,59
"Maxtor 3.5"" 250GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326035016,48,59
"Seagate 3.5"" 250GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331085755,48,30
"Seagate 3.5"" 320GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331090150,48,30
"New Seagate 3.5"" 120GB 7200 rpm 8MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120331101634,48,30
"Seagate 3.5"" 200GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402031423,48,30
"Seagate 3.5"" 250GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402032126,48,30
"New Hitachi 3.5"" 40GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC",osst-20120423092455,48,0
"New IBM Hitachi 3.5"" 100GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423084042,48,0
"New IBM Hitachi 3.5"" 120GB 7200 rpm 8MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423084043,48,30
"Hitachi 3.5"" 200GB 7200 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091369,48,30
"Hitachi 3.5"" 250GB 7200 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091371,48,30
"New Hitachi 3.5"" 60GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC",osst-20120423091377,48,0
"New Hitachi 3.5"" 80GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC",osst-20120423091378,48,0
"Hitachi 3.5"" 250GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091411,48,30
"Hitachi 3.5"" 320GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091412,48,30
"New Samsung 3.5"" 120GB 7200 RPM 8MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521024643,48,30
"Samsung 3.5"" 200GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521035130,48,30
"Samsung 3.5"" 250GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521035348,48,30
"Samsung 3.5""  250GB 7200 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521063115,48,30
"Samsung 3.5""  320GB 5400 RPM 8MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521063411,48,30
"WD Western Digital 3.5"" 320GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120321055708,52,59
"New Maxtor 3.5"" 120GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321082935,52,59
"Maxtor 3.5"" 320GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321090705,52,59
"New WD Western Digital 3.5"" 120GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC",osst-20120322014737,52,59
