name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Nanya DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111031023600,New & Unused,99,1GB,Nanya,PC2-4200 / 533MHz
Nanya DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111031025542,New & Unused,99,1GB,Nanya,PC2-4200 / 533MHz
Qimonda DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110511102131,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110521032421,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110511080426,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110521031201,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC ,22,59,osst-20111028081514,New & Unused,99,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111028082323,New & Unused,99,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Qimonda DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG,22,59,osst-20110916074727,New & Unused,99,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20101229054442,New & Unused,51,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110520103251,New & Unused,51,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20101229054432,New & Unused,51,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110520102229,New & Unused,51,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC,22,59,osst-20110909025208,New & Unused,99,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FBD,22,59,osst-20110908081205,New & Unused,99,1GB,Samsung,PC2-4200 / 533MHZ
Samsung DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG,22,59,osst-20110909025753,New & Unused,99,1GB,Samsung,PC2-4200 / 533MHZ
Elixir DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110510080344,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
Elixir DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030825,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
Elixir DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110511034247,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
Elixir DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524041406,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
Elpida DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110506035129,New & Unused,51,1GB,ELPIDA,PC2-5300 / 667MHz
Elpida DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524024212,New & Unused,51,1GB,ELPIDA,PC2-5300 / 667MHz
Elpida DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524020130,New & Unused,51,1GB,ELPIDA,PC2-5300 / 667MHz
ELPIDA DDR2 Server 1GB PC2-5300E 667MHZ  DRAM Memory Module ECC,22,59,osst-20111103084606,New & Unused,99,1GB,ELPIDA,PC2-5300 / 667MHz
ELPIDA DDR2 Server 1GB PC2-5300F 667MHZ  DRAM Memory Module FB Dimm FBD,22,59,osst-20111103083241,New & Unused,99,1GB,ELPIDA,PC2-5300 / 667MHz
ELPIDA DDR2 Server 1GB PC2-5300R 667MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103083427,New & Unused,99,1GB,ELPIDA,PC2-5300 / 667MHz
Hynix DDR2 1GB 1024MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20101223054265,New & Unused,51,1GB,Hynix,PC2-5300 / 667MHz
Hynix DDR2 1GB 1024MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110520042623,New & Unused,51,1GB,Hynix,PC2-5300 / 667MHz
Hynix DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110520040753,New & Unused,51,1GB,Hynix,PC2-5300 / 667MHz
Hynix DDR2 Server 1GB PC2-5300E 667MHZ  DRAM Memory Module ECC,22,59,osst-20111103043002,New & Unused,99,1GB,Hynix,PC2-5300 / 667MHZ
Hynix DDR2 Server 1GB PC2-5300F 667MHZ  DRAM Memory Module FB Dimm FBD,22,59,osst-20111103082414,New & Unused,99,1GB,Hynix,PC2-5300 / 667MHZ
Hynix DDR2 Server 1GB PC2-5300R 667MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103075004,New & Unused,99,1GB,Hynix,PC2-5300 / 667MHZ
Infineon DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110512021601,New & Unused,51,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110521032920,New & Unused,51,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110511082810,New & Unused,51,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110519082231,New & Unused,51,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 Server 1GB PC2-5300E 667MHZ  DRAM Memory Module ECC,22,59,osst-20111103042748,New & Unused,99,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 Server 1GB PC2-5300F 667MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111103024139,New & Unused,99,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Infineon DDR2 Server 1GB PC2-5300R 667MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103041424,New & Unused,99,1GB,Qimonda / Infineon,PC2-5300 / 667MHz
Micron DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110509025235,New & Unused,51,1GB,Micron,PC2-5300 / 667MHz
Micron DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110523034138,New & Unused,51,1GB,Micron,PC2-5300 / 667MHz
Micron DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110507044722,New & Unused,51,1GB,Micron,PC2-5300 / 667MHz
Micron DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110523031446,New & Unused,51,1GB,Micron,PC2-5300 / 667MHz
